appid,source,added_at
400,mmg_top_paid,2026-09-07
440,charts_top100,2026-09-07
550,charts_top100,2026-09-07
570,charts_top100,2026-09-07
730,charts_top100,2026-09-07
2600,mmg_top_paid,2026-09-07
2990,mmg_top_paid,2026-09-07
3480,mmg_top_paid,2026-09-07
3590,mmg_top_paid,2026-09-07
4000,charts_top100,2026-09-07
4500,mmg_top_paid,2026-09-07
4700,mmg_top_paid,2026-09-07
6860,mmg_top_paid,2026-09-07
6900,mmg_top_paid,2026-09-07
7940,mmg_top_paid,2026-09-07
8190,mmg_top_paid,2026-09-07
8930,mmg_top_paid,2026-09-07
10090,mmg_top_paid,2026-09-07
10150,mmg_top_paid,2026-09-07
10180,mmg_top_paid,2026-09-07
10195,mmg_top_paid,2026-09-07
10230,mmg_top_paid,2026-09-07
10500,mmg_top_paid,2026-09-07
12130,mmg_top_paid,2026-09-07
12150,mmg_top_paid,2026-09-07
12200,mmg_top_paid,2026-09-07
12210,mmg_top_paid,2026-09-07
12430,mmg_top_paid,2026-09-07
12460,mmg_top_paid,2026-09-07
13520,mmg_top_paid,2026-09-07
15100,mmg_top_paid,2026-09-07
15400,mmg_top_paid,2026-09-07
15620,mmg_top_paid,2026-09-07
17410,mmg_top_paid,2026-09-07
19680,mmg_top_paid,2026-09-07
19900,mmg_top_paid,2026-09-07
20900,mmg_top_paid,2026-09-07
20920,mmg_top_paid,2026-09-07
21000,mmg_top_paid,2026-09-07
21090,mmg_top_paid,2026-09-07
22320,mmg_top_paid,2026-09-07
22330,mmg_top_paid,2026-09-07
22370,mmg_top_paid,2026-09-07
22380,mmg_top_paid,2026-09-07
24240,mmg_top_paid,2026-09-07
32370,mmg_top_paid,2026-09-07
32440,mmg_top_paid,2026-09-07
33230,mmg_top_paid,2026-09-07
34030,mmg_top_paid,2026-09-07
34330,mmg_top_paid,2026-09-07
35140,mmg_top_paid,2026-09-07
38400,mmg_top_paid,2026-09-07
38410,mmg_top_paid,2026-09-07
39140,mmg_top_paid,2026-09-07
40700,mmg_top_paid,2026-09-07
42680,mmg_top_paid,2026-09-07
42700,mmg_top_paid,2026-09-07
45760,mmg_top_paid,2026-09-07
46440,mmg_top_paid,2026-09-07
47780,mmg_top_paid,2026-09-07
47810,mmg_top_paid,2026-09-07
47890,mmg_top_paid,2026-09-07
48000,mmg_top_paid,2026-09-07
48190,mmg_top_paid,2026-09-07
48700,mmg_top_paid,2026-09-07
49520,mmg_top_paid,2026-09-07
49810,mmg_top_paid,2026-09-07
50130,mmg_top_paid,2026-09-07
55150,mmg_top_paid,2026-09-07
63110,mmg_top_paid,2026-09-07
65540,mmg_top_paid,2026-09-07
71250,mmg_top_paid,2026-09-07
72850,mmg_top_paid,2026-09-07
94000,mmg_top_paid,2026-09-07
102200,mmg_top_paid,2026-09-07
105600,charts_top100,2026-09-07
107410,mmg_top_paid,2026-09-07
108600,charts_top100,2026-09-07
108710,mmg_top_paid,2026-09-07
109500,mmg_top_paid,2026-09-07
110800,mmg_top_paid,2026-09-07
113200,mmg_top_paid,2026-09-07
200260,mmg_top_paid,2026-09-07
200510,mmg_top_paid,2026-09-07
201810,mmg_top_paid,2026-09-07
201870,mmg_top_paid,2026-09-07
202730,mmg_top_paid,2026-09-07
202750,mmg_top_paid,2026-09-07
202970,mmg_top_paid,2026-09-07
203140,mmg_top_paid,2026-09-07
203160,mmg_top_paid,2026-09-07
204100,mmg_top_paid,2026-09-07
204450,mmg_top_paid,2026-09-07
205100,mmg_top_paid,2026-09-07
206440,mmg_top_paid,2026-09-07
207610,mmg_top_paid,2026-09-07
207730,mmg_top_paid,2026-09-07
208650,mmg_top_paid,2026-09-07
209000,mmg_top_paid,2026-09-07
210902,mmg_top_paid,2026-09-07
211820,mmg_top_paid,2026-09-07
212680,mmg_top_paid,2026-09-07
213330,mmg_top_paid,2026-09-07
213610,mmg_top_paid,2026-09-07
213670,mmg_top_paid,2026-09-07
214950,mmg_top_paid,2026-09-07
216130,mmg_top_paid,2026-09-07
218620,mmg_top_paid,2026-09-07
219740,mmg_top_paid,2026-09-07
219990,mmg_top_paid,2026-09-07
220240,mmg_top_paid,2026-09-07
220440,mmg_top_paid,2026-09-07
221040,mmg_top_paid,2026-09-07
221100,charts_top100,2026-09-07
221380,mmg_top_paid,2026-09-07
221680,mmg_top_paid,2026-09-07
222480,mmg_top_paid,2026-09-07
223450,mmg_top_paid,2026-09-07
223470,mmg_top_paid,2026-09-07
223850,mmg_top_paid,2026-09-07
225540,mmg_top_paid,2026-09-07
226666,mmg_top_paid,2026-09-07
227300,charts_top100,2026-09-07
228380,mmg_top_paid,2026-09-07
228440,mmg_top_paid,2026-09-07
230290,mmg_top_paid,2026-09-07
230410,charts_top100,2026-09-07
231430,mmg_top_paid,2026-09-07
232090,mmg_top_paid,2026-09-07
233270,mmg_top_paid,2026-09-07
233450,mmg_top_paid,2026-09-07
233510,mmg_top_paid,2026-09-07
233860,mmg_top_paid,2026-09-07
234140,mmg_top_paid,2026-09-07
235070,mmg_top_paid,2026-09-07
235460,mmg_top_paid,2026-09-07
235600,mmg_top_paid,2026-09-07
236390,charts_top100,2026-09-07
236430,mmg_top_paid,2026-09-07
236850,mmg_top_paid,2026-09-07
238010,mmg_top_paid,2026-09-07
238320,mmg_top_paid,2026-09-07
238460,mmg_top_paid,2026-09-07
238910,mmg_top_paid,2026-09-07
240720,mmg_top_paid,2026-09-07
241930,mmg_top_paid,2026-09-07
242050,mmg_top_paid,2026-09-07
242550,mmg_top_paid,2026-09-07
242760,mmg_top_paid,2026-09-07
243470,mmg_top_paid,2026-09-07
244210,charts_top100,2026-09-07
244450,mmg_top_paid,2026-09-07
244850,mmg_top_paid,2026-09-07
246420,mmg_top_paid,2026-09-07
